deal_id,account_id,stage,plan,seats,amount,created_date
55357e8c-4fc5-40d6-b551-536fb6c11271,1a386580-cf51-446e-8fb8-44b9cb844a38,Qualified,Basic,156,3900,2023-03-11 17:15:18
1adfb54a-2bca-43db-9f5e-d3c096faedbb,dd4902ba-245b-4a0b-975d-ca86ad3637d2,Qualified,Basic,46,1150,2023-10-25 08:40:12
8e2ec2bd-e718-4f81-aa8c-8a00b4d151a4,e63a0393-cd75-4108-95ee-352bbf0a2d75,Lost,Basic,49,1225,2023-05-02 09:03:16
3c9d58d6-24c4-40a8-92b1-564b0fec3eba,8aa281b7-9ef6-46ae-a2c2-01fbf7853093,Won,Basic,55,1375,2023-12-18 05:19:35
27149cb3-1fdd-493d-a2e7-87028a25c5e5,11ba1c89-030a-4ab1-b40c-51276474f888,Qualified,Basic,59,1475,2024-09-22 03:38:56
ea88183a-f792-47e6-b74f-7e871a016aa3,0d67bf5b-4984-4d39-b130-41e243268029,Lost,Basic,47,1175,2023-12-28 20:41:28
392f216f-2ff5-437f-9978-b8ca24c27e6f,43dbab72-74d2-41c8-8f01-698515e9196d,Qualified,Basic,83,2075,2023-07-16 09:23:26
80b5b48f-ce8b-4fa5-be55-e0040beff504,bd339643-9ea1-46dc-8313-d4a3419e78c7,Qualified,Basic,65,1625,2024-04-28 21:10:20
3c133afd-e1a4-4729-9970-72bdd27e1a9d,879542e8-ca77-401e-a165-3b3d2696789c,PoC,Basic,34,850,2023-11-10 17:41:28
57b935c3-1650-4f4d-b696-ee53621b43f1,c2420eef-ab62-4d7e-9776-c16893d918b9,Qualified,Basic,18,450,2023-12-14 09:00:32
335bd02a-6115-45c1-ad78-06116e6dee32,952671ea-dad5-4803-a2a5-1d740154687e,New,Basic,81,2025,2023-10-23 20:50:11
bb196c66-bc1d-4695-a7a1-595b4857f3f2,b11c9fde-5020-4a44-8c08-7492966163f1,Won,Basic,42,1050,2023-04-10 10:08:33
65c5d1cf-49ad-4bde-8281-610a34e324bf,b9c69761-7ae8-49e6-891e-79d69bbfefa9,PoC,Basic,31,775,2023-08-13 18:46:52
409b6433-77c6-4952-97f3-962a43648b8f,6b4d6e68-2077-4241-b2c2-489bc84c203e,Won,Basic,103,2575,2023-05-06 00:48:39
1382454d-310d-4152-93e6-9d6d205330c2,af23cc85-0232-44de-a8bb-0a4c43850f4b,Negotiation,Basic,108,2700,2024-10-08 22:24:11
0d30f3bc-03e8-4e01-9712-e5cdffe19f37,e8f8efe8-0578-4b30-ae08-37237c2945b2,New,Professional,68,5100,2024-03-16 21:24:36
fd46c5f6-7a50-4e62-b279-6d839731535a,9d1e904f-096d-42ce-8312-e86b7acd6b9b,PoC,Professional,58,4350,2024-09-18 06:29:29
7e45fb8f-04f9-404b-8514-0c696353c22c,6a7936f3-f4e4-4cdb-b5dd-a577918e1e11,Won,Basic,91,2275,2023-11-25 00:16:51
