adduser	3.134	all
apt	2.6.1	amd64
base-files	12.4+deb12u15	amd64
base-passwd	3.6.1	amd64
bash	5.2.15-2+b13	amd64
bsdutils	1:2.38.1-5+deb12u3	amd64
coreutils	9.1-1	amd64
dash	0.5.12-2	amd64
debconf	1.5.82	all
debian-archive-keyring	2023.3+deb12u2	all
debianutils	5.7-0.5~deb12u1	amd64
diffutils	1:3.8-4	amd64
dpkg	1.21.23	amd64
e2fsprogs	1.47.0-2+b2	amd64
findutils	4.9.0-4	amd64
gcc-12-base:amd64	12.2.0-14+deb12u1	amd64
gpgv	2.2.40-1.1+deb12u2	amd64
grep	3.8-5	amd64
gzip	1.12-1	amd64
hostname	3.23+nmu1	amd64
init-system-helpers	1.65.2+deb12u1	all
libacl1:amd64	2.3.1-3	amd64
libapt-pkg6.0:amd64	2.6.1	amd64
libattr1:amd64	1:2.5.1-4	amd64
libaudit-common	1:3.0.9-1	all
libaudit1:amd64	1:3.0.9-1	amd64
libblkid1:amd64	2.38.1-5+deb12u3	amd64
libbz2-1.0:amd64	1.0.8-5+b1	amd64
libc-bin	2.36-9+deb12u14	amd64
libc6:amd64	2.36-9+deb12u14	amd64
libcap-ng0:amd64	0.8.3-1+b3	amd64
libcap2:amd64	1:2.66-4+deb12u3+b1	amd64
libcom-err2:amd64	1.47.0-2+b2	amd64
libcrypt1:amd64	1:4.4.33-2	amd64
libdb5.3:amd64	5.3.28+dfsg2-1	amd64
libdebconfclient0:amd64	0.270	amd64
libext2fs2:amd64	1.47.0-2+b2	amd64
libffi8:amd64	3.4.4-1	amd64
libgcc-s1:amd64	12.2.0-14+deb12u1	amd64
libgcrypt20:amd64	1.10.1-3+deb12u1	amd64
libgmp10:amd64	2:6.2.1+dfsg1-1.1	amd64
libgnutls30:amd64	3.7.9-2+deb12u7	amd64
libgpg-error0:amd64	1.46-1	amd64
libhogweed6:amd64	3.8.1-2	amd64
libidn2-0:amd64	2.3.3-1+b1	amd64
liblz4-1:amd64	1.9.4-1	amd64
liblzma5:amd64	5.4.1-1+deb12u2	amd64
libmd0:amd64	1.0.4-2	amd64
libmount1:amd64	2.38.1-5+deb12u3	amd64
libnettle8:amd64	3.8.1-2	amd64
libp11-kit0:amd64	0.24.1-2	amd64
libpam-modules:amd64	1.5.2-6+deb12u2	amd64
libpam-modules-bin	1.5.2-6+deb12u2	amd64
libpam-runtime	1.5.2-6+deb12u2	all
libpam0g:amd64	1.5.2-6+deb12u2	amd64
libpcre2-8-0:amd64	10.42-1+deb12u1	amd64
libseccomp2:amd64	2.5.4-1+deb12u1	amd64
libselinux1:amd64	3.4-1+b6	amd64
libsemanage-common	3.4-1	all
libsemanage2:amd64	3.4-1+b5	amd64
libsepol2:amd64	3.4-2.1	amd64
libsmartcols1:amd64	2.38.1-5+deb12u3	amd64
libss2:amd64	1.47.0-2+b2	amd64
libstdc++6:amd64	12.2.0-14+deb12u1	amd64
libsystemd0:amd64	252.39-1~deb12u2	amd64
libtasn1-6:amd64	4.19.0-2+deb12u1	amd64
libtinfo6:amd64	6.4-4	amd64
libudev1:amd64	252.39-1~deb12u2	amd64
libunistring2:amd64	1.0-2	amd64
libuuid1:amd64	2.38.1-5+deb12u3	amd64
libxxhash0:amd64	0.8.1-1	amd64
libzstd1:amd64	1.5.4+dfsg2-5	amd64
login	1:4.13+dfsg1-1+deb12u2	amd64
logsave	1.47.0-2+b2	amd64
mawk	1.3.4.20200120-3.1	amd64
mount	2.38.1-5+deb12u3	amd64
ncurses-base	6.4-4	all
ncurses-bin	6.4-4	amd64
passwd	1:4.13+dfsg1-1+deb12u2	amd64
perl-base	5.36.0-7+deb12u3	amd64
sed	4.9-1+deb12u1	amd64
sysvinit-utils	3.06-4	amd64
tar	1.34+dfsg-1.2+deb12u1	amd64
tzdata	2026b-0+deb12u1	all
usr-is-merged	37~deb12u1	all
util-linux	2.38.1-5+deb12u3	amd64
util-linux-extra	2.38.1-5+deb12u3	amd64
zlib1g:amd64	1:1.2.13.dfsg-1	amd64
