adduser	3.134	all
apt	2.6.1	amd64
base-files	12.4+deb12u15	amd64
base-passwd	3.6.1	amd64
bash	5.2.15-2+b13	amd64
binutils	2.40-2	amd64
binutils-common:amd64	2.40-2	amd64
binutils-x86-64-linux-gnu	2.40-2	amd64
bsdutils	1:2.38.1-5+deb12u3	amd64
build-essential	12.9	amd64
bzip2	1.0.8-5+b1	amd64
ca-certificates	20250419~deb12u1	all
coreutils	9.1-1	amd64
cpp	4:12.2.0-3	amd64
cpp-12	12.2.0-14+deb12u1	amd64
dash	0.5.12-2	amd64
dbus	1.14.10-1~deb12u1	amd64
dbus-bin	1.14.10-1~deb12u1	amd64
dbus-daemon	1.14.10-1~deb12u1	amd64
dbus-session-bus-common	1.14.10-1~deb12u1	all
dbus-system-bus-common	1.14.10-1~deb12u1	all
debconf	1.5.82	all
debian-archive-keyring	2023.3+deb12u2	all
debianutils	5.7-0.5~deb12u1	amd64
diffutils	1:3.8-4	amd64
distro-info-data	0.58+deb12u7	all
dmsetup	2:1.02.185-2	amd64
dpkg	1.21.23	amd64
dpkg-dev	1.21.23	all
e2fsprogs	1.47.0-2+b2	amd64
findutils	4.9.0-4	amd64
fontconfig	2.14.1-4	amd64
fontconfig-config	2.14.1-4	amd64
fonts-dejavu-core	2.37-6	all
fonts-noto-cjk	1:20220127+repack1-1	all
g++	4:12.2.0-3	amd64
g++-12	12.2.0-14+deb12u1	amd64
gcc	4:12.2.0-3	amd64
gcc-12	12.2.0-14+deb12u1	amd64
gcc-12-base:amd64	12.2.0-14+deb12u1	amd64
gir1.2-glib-2.0:amd64	1.74.0-3	amd64
gir1.2-packagekitglib-1.0	1.2.6-5+deb12u1	amd64
git	1:2.39.5-0+deb12u3	amd64
git-man	1:2.39.5-0+deb12u3	all
gpg	2.2.40-1.1+deb12u2	amd64
gpgconf	2.2.40-1.1+deb12u2	amd64
gpgv	2.2.40-1.1+deb12u2	amd64
grep	3.8-5	amd64
gzip	1.12-1	amd64
hostname	3.23+nmu1	amd64
init-system-helpers	1.65.2+deb12u1	all
iso-codes	4.15.0-1	all
libacl1:amd64	2.3.1-3	amd64
libapparmor1:amd64	3.0.8-3	amd64
libappstream4:amd64	0.16.1-2+b1	amd64
libapt-pkg6.0:amd64	2.6.1	amd64
libargon2-1:amd64	0~20171227-0.3+deb12u1	amd64
libasan8:amd64	12.2.0-14+deb12u1	amd64
libassuan0:amd64	2.5.5-5	amd64
libatomic1:amd64	12.2.0-14+deb12u1	amd64
libattr1:amd64	1:2.5.1-4	amd64
libaudit-common	1:3.0.9-1	all
libaudit1:amd64	1:3.0.9-1	amd64
libbinutils:amd64	2.40-2	amd64
libblkid1:amd64	2.38.1-5+deb12u3	amd64
libbrotli1:amd64	1.0.9-2+b6	amd64
libbz2-1.0:amd64	1.0.8-5+b1	amd64
libc-bin	2.36-9+deb12u14	amd64
libc-dev-bin	2.36-9+deb12u14	amd64
libc6:amd64	2.36-9+deb12u14	amd64
libc6-dev:amd64	2.36-9+deb12u14	amd64
libcap-ng0:amd64	0.8.3-1+b3	amd64
libcap2:amd64	1:2.66-4+deb12u3+b1	amd64
libcap2-bin	1:2.66-4+deb12u3+b1	amd64
libcc1-0:amd64	12.2.0-14+deb12u1	amd64
libcom-err2:amd64	1.47.0-2+b2	amd64
libcrypt-dev:amd64	1:4.4.33-2	amd64
libcrypt1:amd64	1:4.4.33-2	amd64
libcryptsetup12:amd64	2:2.6.1-4~deb12u2	amd64
libctf-nobfd0:amd64	2.40-2	amd64
libctf0:amd64	2.40-2	amd64
libcurl3-gnutls:amd64	7.88.1-10+deb12u15	amd64
libdb5.3:amd64	5.3.28+dfsg2-1	amd64
